p'
dop'iai	島		dop1.pk, tomu.tk					
fop'ei	薄暗い森			aporie	TRUE			
hep'iai	山岳地方	-hep	huep2.pk, epa.bt					
jup'ui	海の			tasierjupuj	TRUE			理語辞書ではjupóui
nup'iu	ココナッツ			nuporju	TRUE			理語辞書ではnupóiu
p'afaiu	岬			pafey	TRUE			
p'aibaia	興味、関心、利益		bhajúḷ.bt					
sap'ea	古い			fengguasapea	TRUE			
sip'ui	国、地方、郷里		sip1.pk, síbha.bt, ṣibhai.bt, cima.tk					

t'
ait'ee	牢、監獄、独房			etaj	TRUE			理語辞書ではaitóee
bet'aa	圧縮		bet2.pk					
bot'oo	穴、くぼみ、へこみ		bot1.pk					
ket'eo	常に、いつも		ket.pk					
rit'io	コウモリ			riti'a	TRUE			
s^ut'uu	間違い、ミス			xturkhurte	TRUE			
t'aitaiu	なんとまあ！		tai.pk, deja.bt					
t'edzour	赤面する			turx	TRUE			理語辞書ではtóedzou

k'
fuk'io	混沌、カオス、無秩序			feti'a	TRUE			
k'abaia	そでなしの、ノースリーブの			abea	TRUE			
k'ebaier	燻製にする			xorla	TRUE			理語辞典ではkóebaie
k'es'ia	デーツ、ナツメヤシの実			korjzoria	TRUE			理語辞典ではkóesóia
k'iwea	だから、そこで					TRUE		用例ではkóiwea
k'uaa		筆づかい、タッチ、後に残す		kua2.pk					
taik'eo	ブラジャー			tekor	TRUE			

s'
k'es'ia	デーツ、ナツメヤシの実			korjzoria	TRUE			理語辞典ではkóesóia
ngas'aar	理解する		ghaccúḷ.bt					用例ではngasóaa
t^es'aiai	爆竹；爆竹を鳴らす			tesarja	TRUE			

t^
h^ut^eer	始まる		hut2.pk, huṭeúḷ.bt					
kat^oe	おとなしい							
kat^oer	いっぱいになる、満ちる			katuroj	TRUE			理語辞典ではkatúoe
pet^ii	星		pet2.pk					
t^ebaia	苦役、骨折り仕事			tue	TRUE			理語辞書ではtúebaia
t^enuai	列車					TRUE		
t^es'aiai	爆竹；爆竹を鳴らす			tesarja	TRUE			
tut^oe	それぞれ		tut1.pk					

h^
cah^iur	二つに分かれる		ṣahe.bt?, ṣe.bt?					
dzah^ie	リン酸			dzarfie	TRUE			理語辞書ではdzahúie
fah^uar	挽く、粉にする、砕く、押しつぶす		hua1.pk					
h^alaii	耳かき			fealej	TRUE			理語辞書ではhúalaii
h^ecuair	ポケットから出す、懐から出す		recúḷ.bt					
h^ikoor	公認する、認可する、認知する		hio1.pk					
h^olou	虫歯			feral	TRUE			理語辞典ではhúolou
h^ozao	盲腸			khosao	TRUE			
h^ut^eer	始まる		hut2.pk, huṭeúḷ.bt					
xeh^eu	夏	xeh^eu	xo1.pk, ṣárahúḷ.bt					
xeh^eu	夏の	xeh^eu	xo1.pk, ṣárahúḷ.bt					
yuh^aar	磨く		ia1.pk, joraúḷ.bt					
zaih^eu	中毒、依存症			caikheu	TRUE			

s^
es^eu	先祖、祖先		so1.pk					
fas^eu	職業、仕事			faxeobe	TRUE			
mis^eo	自治、自制、自律			saqermisero	TRUE			理語辞典ではmisúeo
nas^aiair	処方する			naxer	TRUE			
s^esoa	手下、配下			xaksversar	TRUE			理語辞書ではsúesoa
s^ibaur	抽出する；引用する			curibaj	TRUE			理語辞書ではsúibar
s^odzou	偶然の、運任せの			sudz	TRUE			理語辞書ではsúodzou
s^udea	金網			eucsurda, csurda	TRUE			理語辞典ではsúudea
s^ut'uu	間違い、ミス			xturkhurte	TRUE			
vas^iai	氏族、クラン、派閥			farxaj	TRUE			
