ID	語形	品詞	燐字	意味	関連語	関連語ID	関連語タグ	同根語	関連する理語	例文	備考	799
2	-hep	接尾辞	処	場所	hep'iai, hepe	253, 794	派生関係；派生関係					
3	-ki	接尾辞	男	男、おとこ	uki	692	派生関係					
4	-ku	接尾辞	物	物、もの	uku	693	派生関係					
5	-ma	接尾辞	大	大きい	amama	39	派生関係					
6	-ni	接尾辞	小	小さい	inini	286	派生関係					
7	-sa	接尾辞	女	女、おんな	usa	697	派生関係					
8	a	間投詞	噫	あ				a.pek, há.bt, a.tk				
9	a	後置詞；後置詞	之	～の；～である				a.pk, a.tk, -án.bt				
10	abudijei	名詞		汚染防止					abdijery			
11	acau	動詞	能	～する能力がある、～することができる				c-u.tk, ácahúl.bt				
12	acii	動詞	辿	道をたどる				aci-lu.tk, accúl.bt				
13	adwirede	名詞		人肉食					adwirdurta			
14	age	形容詞		仮の、臨時の、一時的な	akui	33	同根語	ághai.bt	irxe			
15	aguvii	形容詞		せっかちな、気が早い					agvir			
16	aifeu	名詞		子供、こども、(人の)子					fevaiarj, gekarifew			
17	aihei	名詞	冠	王冠				ai2.pk, ehai.bt				
18	aihou	間投詞		じゃあ！					aihou			
19	aika	名詞	光	光、ひかり、光線				aik2.pk, eka-lu.tk				
20	aima	動詞	在	ある、存在する				aim2.pk				
21	aimu	後置詞；動詞	如	～のような、～のごとく；～のようである				em.pk, ema.bt, -aim.bt, -waim.bt, mu-lu.tk				
22	aipa	動詞；動詞	倒	落ちる、落下する、転ぶ；(転じて)滅びる				aip1.pk, ephaúḷ.bt				
23	aipwau	形容詞；形容詞	乾	乾いた、干からびた、乾燥した；(転じて)そっけない、無味乾燥な				puau1.pk	evoradz			
24	airaniija	名詞		アイラニーヤ							理語を母語とするアイル人のこと	
25	airu	名詞	冠	アイル				ai2.pk			理語の影響でai'r、東島通商語の影響でailと綴られることも多い。	
26	aisaa	名詞		種					sarcvakh			
27	ait'ee	名詞		牢、監獄、独房					etaj		理語辞書ではaitóee	
28	akai	名詞	血	血				kai1.pk, ághi.bt				
29	akata	名詞	書	書物				ak1.pk, aghauṭa.bt, ákúḷ.bt				
30	ake	名詞		火山弾					mammake			
31	aki	動詞		～させる、～せる								
32	akia	名詞	日	太陽、日				kia1.pk, ákíjam.bt, kija.tk				
33	akui	形容詞		仮、仮の	age	14	同根語	ághai.bt				
34	akunu	名詞		貴様、きさま、てめえ	amua	41	類義語				カジュアルな会話やモノローグで用いる二人称。	
35	akuti	名詞		香辛料、スパイス				ághat.bt				
36	alazama	名詞		魅力、色気					alzarm			
37	ale	名詞		生体反応					aledzvaju, arcilanwif			
38	aluai	名詞		祭り				alwe.pmcp	alve			
39	amama	形容詞	大	大きい	-ma, ami	5, 40	派生関係；関連語	ma1.pk, amáma.bt				
40	ami	形容詞	御	偉大な、すごい	amama	39	関連語	am.pk, amúḷ.bt				
41	amua	名詞	汝	あなた、貴方、君	akunu	34	類義語	mua2.pk, ma.tk			akunuよりも丁寧な二人称。フォーマルな場でも、カジュアルな会話でも用いられる。	
42	amui	名詞	魚	（生き物としての）魚	chaula	128	関連語	mui1.pk, amila.bt			食材や料理としての魚にはchaulaを用いる。	
43	amunu	動詞	無	ない、存在しない、いない				mun1.pk, ám.bt				
44	anaa	形容詞	静	静かだ、静かな、そっと、小声で				na1.pk, na-lu.tk				
45	anau	連体詞	全	全ての	zabee	747	関連語	nau.bt, ano.tk, nau1.az				
46	apo	形容詞		安い					apo			
47	asi	名詞；形容詞	一	いち、一、1；一つの、ひとつの				lási.bt, asi.tk			活用の際に長子音化が起こらない。	
48	asiti	名詞		ハーブ				rásitúḷ.bt	korniusti'e			
49	asiu	名詞	石	石、岩、岩石				sy2.pk, asíjaúḷ.bt				
50	asuka	名詞	人	ヒト、人間				suk2.pk, cuka.tk				
51	ata	名詞；動詞	目	目、眼；見る				ta1.pk, ata.tk				
52	atamu	名詞	皇	皇、タム、皇帝				tam2.pk, aṭam.bt, takan.tk, takamu.tk				
53	ateai	動詞	帝	座っている、君臨する				adheṣ.bt, ales.li?				
54	atini	名詞		浜、浜辺、はま				ádhín.bt				
55	aube	動詞		推薦する、推奨する、勧める、紹介する					aubes			
56	aumi	名詞	傾	坂				aum2.pk, aumúḷ.bt				
57	avii	名詞		事態、局面、情勢					avir		リパライン語avirからの借用。	
58	aybajis	名詞		文字					arvifit			
59	ayua	後置詞		は				ja.tk?				
60	bachau	形容詞	白	白い、しろい				bházahúḷ.bt				
61	baeai	名詞	糸	綿糸				bai2.pk				
62	baibae	形容詞；形容詞；副詞	同	変わらない、同様な；（処格）と同じである；～も、同じく				bap.pk, bhápúḷ.bt				
63	baibia	名詞	民	人民、民衆、国民				bia1.pk				
64	baihaiu	形容詞	遅	遅い、遅れた				baik.pk, bháheúḷ.bt				
65	baiza	名詞	膠	魚膠				bait.pk				
66	bake	名詞		どこ								
67	bangai	形容詞		食べられない					banerdex			
68	beca'ymo	名詞		カワウソ					becajm			
69	bet'aa	名詞	圧	圧縮				bet2.pk				
70	bexaiai	名詞		連鎖反応					bexe			
71	bihuo	後置詞		～のそばに								
72	biwuu	動詞	訴	口説く、言い寄る				u1.pk				
73	bladai	名詞		農奴					blard			
74	blecwa	動詞		委託、委任、任せる					blesva		リパライン語blesvaからの借用。	
75	blekhau	名詞		スモモ、李、プラム					blerkh			
76	blibwau	名詞		鳩、ハト					blirba			
77	blimou	名詞		灯台					blim			
78	blohai	名詞		独裁、絶対的権力				bhoḷog.bt, bhoheáḷ.bt, bhoḷorúḷ.bt	blofeziphera			
79	blokhei	形容詞		砂の、砂でできた					bleiformajera			
80	blouka	形容詞		中性の、中立な、第三者の					blowka		リパライン語blowkaからの借用。	
81	bloulu	形容詞	夢	想像できる				olu?.tk				
82	bloungu	名詞		干しブドウ					bloung			
83	blouxai	名詞		軌道、弾道、跡					aplauxme			
84	blubla	形容詞；形容詞	歪	曲がった、歪んだ；傾いた、遠回りの				bup2.pk, ula.tk				
85	bluuja	名詞		天啓、神の声、素晴らしい美声					blurja		リパライン語blurjaからの借用。	
86	bohai	動詞		交換する				bhoheúḷ.bt				
87	bokua	名詞	我	俺、おれ、あたし	dipai	174	類義語				カジュアルな会話やモノローグで用いる一人称。dipaiよりもややくだけた、あるいは粗野な印象を与える。	
88	bongiai	名詞		雑談					bong'ia			
89	bot'oo	名詞	凹	穴、くぼみ、へこみ				bot1.pk				
90	botwu	形容詞		無意味な、くだらない								
91	boungau	名詞	筒	円筒、円柱、シリンダー、枠				bon2.pk				
92	bowa	動詞	満	(潮が)満ちる				bo1.pk, bhoúḷ.bt, mo-lu.bt				
93	buia	名詞		数字				bhájabáni.bt				
94	buka	名詞		これ				ka1.pk?			くだけた会話などではmaikauが、改まった会話ではbukaが用いられる傾向にある。	
95	bunae	動詞	鼓？	ぶつかり合う、押し合う				bum1.pk?				
96	buou	名詞	箱	ケース、箱、容器				bu1.pk				
97	buwo	動詞	包	包む、包装する				bo1.pk				
98	bwaulu	動詞；動詞	迷	誤る、間違える；道に迷う				bau2.pk				
99	bwikha	名詞；名詞		肉、肉体；果肉					pheini'avirga			
100	bwila	動詞		(すき、そり、馬車などに)つなぐ								
101	bwogo	名詞	獣	駄獣、荷を引かせる家畜	pwugo	549	関連語					
102	bwoxou	動詞		立ち上がる、起きる				bhoṣahúḷ.bt				
103	bwuzei	名詞		暗い気分					pzeniatz			
104	cache	動詞		掘りだす、発掘する				cazúḷ.bt				
105	cah^iu	動詞		二つに分かれる				ṣahe.bt?, ṣe.bt?				
106	cahu	動詞		(堤防などで)せき止める	cwaho	155	同根語	cahúḷ.bt				
107	camou	名詞		料理人					xamor			
108	canai	動詞	識	認識する、考える				can2.pk, cánajúḷ.bt				
109	capaiu	名詞		オパール				ṣabhahu.bt				
110	capau	形容詞		食べられる、食用の					capaudex			
111	capi	動詞；動詞		発生する、起こる、生じる；[生物]発生する								
112	casa	名詞；名詞		蘭、ラン；茶番				caca.pmcp	casarmanugarki			
113	cauyau	後置詞；副詞		～とともに、～と一緒に；一緒に				cájau.bt				
114	caxou	形容詞	恒	永遠に、いつまでも、ずっと				cac-u.tk				
115	cee	動詞	巻	渦巻く、旋回する				ze2.pk, zeúḷ.bt, zekáta.bt				
116	ceinyo	名詞		丘、小山、丘陵					ceiny			
117	ceiti	名詞		国					gamyrxert			
118	ceixei	形容詞	近	近い、近接した	ceyuu	121	同根語	cajúḷ.bt				
119	celo	名詞		学校					demozel			
120	ceta	名詞	机	机				cet2.pk				
121	ceyuu	形容詞	周	周囲の、周辺の	ceixei	118	同根語	cei2.pk, cajúḷ.bt, cai.bt				
122	chaba	名詞	彼	彼、かれ				zap2.pk				
123	chade	形容詞	怖	こわい、怖い				zat1.pk, zádeúḷ.bt				
124	chaitau	名詞		カエル、蛙				chaitaus.vef				
125	chame	形容詞		たのもしい				zámúḷ.bt				
126	chasu	名詞		セルロース					chas			
127	chauchu	動詞	為	する、行う				zau.pk, zúḷ.bt				
128	chaula	名詞		（食材としての）魚	amui, koxua, saiguu	42, 371, 574	関連語；関連語；関連語		xorla		魚から作られた食材全般を指せる言葉であり、切り身や団子、干物や酢漬けといったものまで含む。	
129	chepo	名詞；動詞	言	言語；話す				zep1.pk, zepha.bt, cepatepa.bt, cema-lu.tk				
130	chesi	名詞	其	それ	chesim, tisi	131, 661	派生関係；同義語	ze1.pk				
131	chesim	間投詞		ああ、なるほど	chesi	130	派生関係					
132	chexu	動詞		絡める、（腕や足を）組む					tjerx			
133	chigo	形容詞		規則的な、系統的な、組織的な、整然とした				zíghúḷ.bt				
134	chisha	名詞	質	性質				zit1.pk				
135	chixu	名詞		時計				zíghíṣ,bt				
136	chobu	名詞		本								
137	chogau	名詞		料理、調理					xorga			
138	choma	副詞		たびたび、なんども								
139	chuwo	名詞；名詞	片	かけら；（ゲームの）駒				zuo1.pk	chuvo			
140	cica	名詞	吏；宦	地方公務員								
141	cidoxile	動詞		はさむ					cedoxirle			
142	cikau	名詞		写真								
143	cikau	動詞	座	座る	ciwi	147	同根語	cy2.pk, ṣíkahúḷ.bt, cik-u.tk				
144	cira	形容詞	古	古い、青銅の				sia2.pk				
145	citua	動詞；動詞		脅かす、脅迫する；～する恐れがある					xitua		リパライン語xituaからの借用。	
146	civeo	名詞		制服、ユニフォーム					civior		リパライン語civiorからの借用。	
147	ciwi	名詞	席	椅子、席、座席	cikau	143	同根語	cy2.pk, ṣíkahúḷ.bt, cik-u.tk				
148	cizeu	動詞		売れる					ciziur			
149	coucu	名詞	餅	餅					cuscadex		粉を練って成形した食べ物のうち、麺でないものを指す。	
150	couyau	名詞	壁	一続きの壁				co1.pk, ṣoya.bt				
151	cuadu	名詞		手のひら					menaxarde		理語辞典ではcuaduä	
152	cubotu'i	名詞		象牙色、クリーム色					cpatirt			
153	cunya	接続詞		しかし、だが				ṣiṇṇa.bt				
154	curau	動詞		切り刻む					cauxange, cauxarnekorxa			
155	cwaho	動詞		捕まえる、とらえる	cahu	106	同根語	cahúḷ.bt	sarcvakh			
156	cwairo	名詞	形	形、形式、作法、姿				cuau2.pk				
157	cwauyi	動詞；動詞		～のせいにする；～を計算に入れる								
158	cweio	名詞；形容詞	或	あるもの、なにか；ある、どれかの				cue1.pk				
160	cwelo	名詞	球	玉、団子				cuet.pk, cuwelo.pmcp				
161	cwouphi	名詞	声	音				cuop1.pk, codhi.bt				
162	dace	動詞；動詞		走る、急ぐ、(水などが)流れる；筋の通らない					dacrarje?			
163	dacha	形容詞		楽しい				dházúḷ.bt				
164	dado	名詞；名詞；動詞	集	集まり、グループ；（特にアイル共和国の）郡、集；集まる	cepu	823	関連語	dat2.pk, dhárad.bt, tadu.tk	dadorta		地域としての郡はdadoを用いるが、自治体政府としての郡にはcepuを用いる。	
165	dailaa	名詞		一度、一回								
166	daimeu	形容詞		第三の					demozel			
167	daipa	名詞		歯					dervilkov			
168	daunou	名詞	虎	虎、トラ				dau2.pk, dhauna.bt, dhán.bt				
169	daute	形容詞	深	深い、ふかい				daut1.pk				
170	dexu	名詞；名詞	種	ドングリ、樫の身；亀頭				det2.pk	banerdex, capaudex, cuscadex, desxupse			
171	diai	名詞		インターネット					adi'a			
172	dibee	名詞	鎖	鎖、チェーン				dhíp.bt				
173	dili	動詞		刺す				díl.bt, naunilorúḷ.bt, dilit.pmcp				
174	dipai	名詞	我	私	bokua	87	関連語	pai2.pk			フォーマルな場でも、カジュアルな会話でも用いられる一人称。bokuaよりは丁寧な印象を与えるが、丁寧すぎるほどではない。	
175	dipe	名詞		歌								
176	ditanake	動詞		覗く、のぞく								
177	ditoo	名詞	貝	貝				dit1.pk				
178	doche	名詞	店	店				ḍáz.bt				
179	dop'iai	名詞	島	島				dop1.pk, tomu.tk				
180	duhai	形容詞		浅い、あさい					durfemark			
181	dukhi	動詞		果実がなる、実る、成果が出る				dhokit.bt	durk			
182	duqewaa	名詞		蛍光					duqewartax		暗くすると光るもの	
183	duxaii	名詞		場所					hormarverdzar			
184	dzacao	名詞		プール、池					dzacar			
185	dzah^ie	名詞		リン酸					dzarfie		理語辞書ではdzahúie	
186	dzecei	間投詞		さて、さあ、ところで					dzec			
187	dzerua	名詞		ポニーテール					xerfa			
188	dzipaiu	名詞		へこみ、くぼみ					xeparju			
189	dzipuai	名詞		落雷、電撃					xerp'e			
190	dzivaiu	動詞		認証する、公認する					aledzvaju			
191	dzoriu	形容詞		速い、快速な					dzoy			
192	ebu	名詞		雑穀、穀物				ebu.pmcp	erb			
193	ebutuzulu	動詞		暴れる					iptzules			
194	eipwi	名詞；名詞		酢漬け、マリネ；酢漬け液、マリネード					vismoua			
195	elwafan	名詞		一撃					ilvefan			
196	ena	動詞		言う					xauternaz			
197	epao	形容詞	別	別の、異なる				pau1.pk				
198	es^eu	名詞	祖	先祖、祖先				so1.pk				
199	etoxapelu	動詞		間をあける					itzapel			
200	ewai	名詞；動詞	将	命令、指示；命じる、命令する、指示する				uai1.pk, eyáúḷ.bt				
201	eyoi	名詞；形容詞	春	春；春の				iei2.pk				
203	fabui	名詞		宴、宴会、どんちゃん騒ぎ					fabi			
204	fadzio	名詞		セメント、接着剤					fardza			
205	fafi	動詞	定	定める				huap1.pk				
206	fah^ua	動詞	挽	挽く、粉にする、砕く、押しつぶす				hua1.pk				
207	falaa	形容詞	互	互いの				huat.pk, wáḷa.bt				
208	faniu	動詞；間投詞		仲良くする、関わる；よろしく！								
209	fas^eu	名詞		職業、仕事					faxeobe			
210	feqoai	名詞		サングラス					feqai			
211	figue	名詞		足の裏					firganqerw			
212	fimea	名詞		水着					fimea			
213	foje	名詞	龍	龍、竜				hui2.pk				
214	foku	名詞	輩	兄弟、姉妹				huok1.pk, fokjut.ln, woghit.bt, moku.tk				
215	fongio	動詞		同意する、意見が一致する					foni'a			
216	fopoei	名詞		薄暗い森					aporie			
217	fuk'io	名詞		混沌、カオス、無秩序					feti'a			
218	gaa	動詞		言う、説明する								
219	gamuu	名詞		共和国、共和政					gamuuceiti			
220	ganyo	後置詞		～から、～以後								
221	gatu	名詞	祭	祭り、儀式				gat2.pk				
222	gauble	名詞		猪、イノシシ					gable			
223	gauki	名詞		花火					casarmanugarki			
224	gecwe	名詞		気候、風土					gesvi'o			
225	gecwou	名詞		終わり、終止、最後、結末、末端								
226	gelao	名詞	門	門、扉				giau1.pk				
227	genu	動詞		読む								
228	geqa	名詞	肉	にく 肉				gek.pk	gekarifew			
229	gerue	名詞		（リボンなどの）花結び					fadi'agerve			
230	gio	名詞	鹵	岩塩坑	quvoo	554	関連語	kuo1.pk, ghíyo.bt				
231	guko	動詞；動詞；動詞	受	受け取る、もらう、得る；受ける、受け入れる；こうむる、経験する	pusho	789	関連語	guk2.pk				
232	guyao	動詞	層	重ねる、重ね合せる				gy1.pk				
233	h^alaii	名詞		耳かき					fealej		理語辞書ではhúalaii	
234	h^ecuai	動詞		ポケットから出す、懐から出す				recúḷ.bt				
235	h^ikoo	動詞	認	公認する、認可する、認知する				hio1.pk				
236	h^olou	名詞		虫歯					feral		理語辞典ではhúolou	
237	h^ozao	名詞		盲腸					khosao			
238	h^ut^ee	動詞	始	始まる、始める				hut2.pk, huṭeúḷ.bt				
239	hagi	名詞	北	北				hak2.pk				
240	hagi	動詞		灰になる、燃え尽きる								
241	hahau	動詞	笑	叫び声をあげる				hau2.pk				
242	haicaai	名詞		汁、ジュース					curibaj			
243	hainyi	副詞		当然の報いとして、正当に、功罪に応じて					fenire			
244	haivuu	名詞；形容詞		闇、暗闇；暗愚、蒙昧な				háju.bt				
246	hanu	後置詞	処	～で、～にて、～において				kan.tk			古い処格の接辞。現代では -ne/nu になっているが、燐文体では今でも用いられる。	
247	haroa	名詞		柑橘、オレンジ					farva			
